text4696;"""A man can always be judged by how much he looks forward to the weekend."""
text4697;"""If the working days of the week were spent in labor, if you're exhausted and just want to rest, then you treat the weekend as a deserved reward."""
text4698;"""If you don't care and it's just the end of the week, then you're a lazy deadbeat!"""
text4699;"""...was what my father used to say."""
text4700;"""I doubted he was an overly strict man, rather, he was painfully fair-minded."""
text4701;"""Maybe he could no longer live under the totalitarian Soviet regime, or maybe his reasons were much more banal and mundane. <w>In any case, it was far beyond the understanding of the small boy jerked out of his everyday life."""
text4702;"""I remembered being led to the airport by the hand, my father dragging a large suitcase behind him, a huge plane gobbling up passengers then soaring away, to the sun, higher than the birds, higher than Icarus who I'd read about in a book of Greek myths."""
text4703;"""I didn't feel scared at all at the time — I guess I didn't really understand what was going on."""
text4704;"""Slowly gliding along the lush carpet of clouds, the plane looked more like a ship swaying peacefully on the waves."""
text4705;"""And when the silhouettes of forests, rivers, cities, the endless vast steppes and tundras appeared below, they for some reason seemed unreal, like I was watching a film."""
text4706;"""The airport in that foreign country felt completely different, the new city was like another planet compared to my hometown."""
text4707;"""Many strange people were running about, speaking an unfamiliar language; the lights of the billboards, the endless strings of cars."""
text4708;"""I held tighter to my mother's coat — it seemed as if in just a moment, I would be picked up and carried away by this flow to a place from where little children never return."""
text4709;"""Dad looked tense, the vein on his temple throbbing from time to time."""
text4710;"""People were constantly coming into our cramped hotel room — some of them spoke Russian, but I couldn't understand exactly what they were saying."""
text4711;"""And then we moved here."""
text4712;"""I would never have thought that all of this was just for the three of us."""
text4713;"""My old room had seemed enormous to me — I would build pillow fortresses , jump on the bed without even reaching the ceiling, and it seemed like the closet (that mom called a <note=note22>\""Czechoslovak wall\""</note>) held all the treasure in the world..."""
text4714;"""After that our new house, to my mind, was a mansion or palace out of Pushkin's fairy tales."""
text4715;"""Almost right away, I met the neighbor girl with the strange name."""
text4716;"""She was way too shy and would never let go of her simple rag doll, but she spoke Russian, although with a slight accent."""
text4717;"""She didn't know how to play cops and robbers, which I was very upset about."""
text4718;"""It was as if until I arrived, all she had been doing day in and day out was read her stupid books with scribbles!"""
text4719;"""Like, we had calligraphy classes in the first grade, and here, it was as if no one went to school at all!"""
text4720;"""But there were cool pictures in her books, and over time I started to understand Japanese cartoons too. Not without my new friend's help, of course."""
text4721;"""She didn't stop being weird, but I got used to her. In fact, to me, she became the only one I was close to besides my parents..."""
text4722;"""Naturally, I didn't look forward to the weekend."""
text4723;"""For me, the whole problem boiled down to the fact that I wasn't going to see Catherine today."""
text4724;"""The \""Catherine issue\"" still hung in the air, and then there was my recent fight with Himitsu..."""
