text38799;"""I dreamed that Kagome was kidnapped and a ransom had been demanded from me."""
text38800;"""Of course in the morning I forgot the details — the only thing I remembered was that there was someone else with me at home, a girl."""
text38801;"""It wasn't really a nightmare, more like a thriller full of suspense, than a real nightmare."""
text38802;"""Unfortunately the ending of the dream was wiped out by the first rays of the autumn sun and Kagome's fate remained unclear."""
text38803;"""I opened my eyes and smelled something strange. <w>A familiar scent from the kitchen."""
text38804;"""No freaking way!"""
text38805;"""I jumped off the bed and ran out of my room."""
text38806;"""But Himitsu wasn't in the kitchen — Kagome was in charge of the stove."""
text38807;"""Oh, it's you…"""
text38808;"""I wasn't too upset, just surprised."""
text38809;"""Niko-san…"""
text38810;"""Kagome grew embarrassed."""
text38811;"""What?"""
text38812;"""She made a vague gesture with her head, indicating there was something wrong with me."""
text38813;"""I looked down and realized I was standing in the middle of the kitchen just in my underwear."""
text38814;"""Ah, yeah, sorry…"""
text38815;"""…"""
text38816;"""I knew a Russian many years ago, before the war, he used to cook a great borscht, with those garlic buns…"""
text38817;"""<note=note138>Pampushki</note>."""
text38818;"""I suggested."""
text38819;"""Yes, probably."""
text38820;"""We sat at the kitchen table, eating borscht for breakfast."""
text38821;"""For me, this choice of dishes was becoming a regular occurence."""
text38822;"""Of course, the Kagome's soup was different from Himitsu's, and was at most only a cousin to a normal borscht."""
text38823;"""But, the taste was recognizable, and good too."""
text38824;"""But where did you find the ingredients?"""
text38825;"""Well, I won't argue, red beet wasn't easy to find, but the rest can be found in any grocery store."""
text38826;"""I decided not to dwell on the fact that she had to have woken up extremely early to buy all that. <w>And that she'd probably spent the last of her money on it."""
text38827;"""How much did you spend on all that? I'll pay you back!"""
text38828;"""I won't say no to that."""
text38829;"""Kagome smiled."""
text38830;"""I was about to go to my room to grab my wallet when someone knocked on the door."""
text38831;"""Or more precisely, banged on it like they were trying to knock it down."""
text38832;"""I immediately realized it was no common guest and looked at Kagome."""
text38833;"""But she seemed just as scared and perplexed as I was."""
text38834;"""But, I couldn't just sit it out — I had to open the door."""
text38835;"""I summoned all the courage I had and walked into the hall."""
text38836;"""The impatient guest turned out to be Kagemaru."""
text38837;"""Come along! Kobayashi-dono wishes to speak to you!"""
text38838;"""His looked killed any thoughts I had of arguing with him, but I still asked:"""
text38839;"""Can I have a few minutes, at least?"""
text38840;"""No. Put on your shoes and let's go."""
text38841;"""Niko-san… ?"""
text38842;"""I turned around and saw Kagome, then looked at Kagemaru again — apparently, he wasn't in the least surprised by the fact there was an unfamiliar girl at my place early in the morning."""
text38843;"""See you at school."""
text38844;"""I told her, quickly put on my shoes, and followed Kagemaru."""
text38845;"""What's this about?"""
text38846;"""Kobayashi-dono will tell you everything."""
text38847;"""He grit his teeth."""
text38848;"""…"""
text38849;"""The drive seemed unbearably long to me, and it wasn't just because of the weekday traffic."""
text38850;"""Unsurprisingly, Kagemaru kept silent, and I was afraid to start a conversation."""
text38851;"""It was clear that something had happened."""
