text20560;"""Lately, the strings of my guitar had started to feel more and more pliant."""
text20561;"""A couple of weeks ago, when I first started to play again, they would dig into my fingers like sharp, thin fishing lines."""
text20562;"""But now every movement I made not only brought the right sounds out of the amplifier, but was accompanied by a pleasant response from the string."""
text20563;"""Way to go, Nick!"""
text20564;"""Mitsuyoshi praised me."""
text20565;"""So much progress in such a short time, I'm impressed!"""
text20566;"""He spoke genuinely, but for whatever reason to me it still sounded like a routine compliment."""
text20567;"""Now, with the concert just around the corner, Z FEEL-Z definitely had no time to find a new bass player."""
text20568;"""Ishida wiped the sweat from his forehead, walked to us, and smiled encouragingly."""
text20569;"""For once I'm not worried about the rhythm section."""
text20570;"""Imagine if Yamada heard you right now!"""
text20571;"""Both of them laughed, while I didn't know how to react, since I'd only seen their former bass player once, from a distance, standing in the audience hall."""
text20572;"""Guys, stop embarrassing Nick. Look, he's all red!"""
text20573;"""Ellie sneaked up from behind and lightly elbowed me in the ribs."""
text20574;"""Ouch!"""
text20575;"""I jumped in place in pretend."""
text20576;"""After that day, Ellie never offered me a \""pick me up\"" again, and seemingly wasn't taking any herself."""
text20577;"""I wasn't completely sure about that, though, so I kept a careful eye of her, noting any changes in her behavior."""
text20578;"""But I didn't notice anything in particular."""
text20579;"""Gradually, my suspicions began to fade."""
text20580;"""Let's go one more time!"""
text20581;"""El, maybe that's enough?"""
text20582;"""Ishida pleaded tiredly."""
text20583;"""If even he had run out of energy, it was definitely time to stop."""
text20584;"""Seems like someone's tired."""
text20585;"""All things in moderation! Nothing good will come out of exhausting ourselves."""
text20586;"""I was of the same opinion, even though I didn't feel that tired."""
text20587;"""Meanwhile, Ellie was beaming with energy — it seemed that if I came any closer, I'd get burned…"""
text20588;"""I think Ishida's right too."""
text20589;"""Too? Who else thinks that?"""
text20590;"""She stared me down, and I, smiling idiotically, looked toward Tokyo Rider…<w> Who had just been standing behind the synthesizer."""
text20591;"""But wasn't there now."""
text20592;"""Ellie realized she'd started losing people to attrition, pursed her lips, and put the guitar away."""
text20593;"""That's all for today. Thanks everyone!"""
text20594;"""Ishida and Mitsuyoshi exhaled in relief."""
