text43735;"""We were climbing a low hill with sparse, stumpy trees."""
text43736;"""The sheath of my heavy sword hit against my legs, leaving deep, never-healing wounds on my skin."""
text43737;"""The sun was blazing, and my salty sweat ate at my eyes."""
text43738;"""My head was spinning, and yet again I felt I was about to faint."""
text43739;"""Just like I had a few hours ago, and a few hours before that."""
text43740;"""But each time I found the strength to move on, only hoping I'd be able to make another two or three steps and then come what may."""
text43741;"""The commander said that we'd rest in a couple of miles, but he always said that, while in reality we had to walk from dawn to dusk!"""
text43742;"""How were we supposed to fight barbarians after that?"""
text43743;"""We weren't just waiting for our battle to the death but marching straight toward it, leaving our homes thousands of leagues behind us."""
text43744;"""I'd never been afraid of battles with the enemy, but the endless wait made its image grotesquely foreboding."""
text43745;"""In the end, in the north of Europe people were just the same as us, with their families and customs, even if we saw many of those customs as barbarous."""
text43746;"""I'd left my parents and younger siblings at home."""
text43747;"""We spent half of our lives serving the Emperor…<w> At best!"""
text43748;"""We had a much higher chance of dying in battle or ending up uselessly maimed, making those around us feel nothing but pity and disgust, than returning home safe."""
text43749;"""I guess it wasn't the life I'd wanted as a child, but I wasn't lucky enough to be born a patrician and so I didn't get to choose my own fate."""
text43750;"""…"""
text43751;"""Night, a break, a fire."""
text43752;"""It was nice to finally take my sandals off, but my soles had grown so rough they lost almost all feeling — I rubbed them again and again, but the sensation was barely different from caressing a rock."""
text43753;"""An old soldier began to tell his neverending story about fighting barbarians far in the northern forests."""
text43754;"""About tree fairies and other evil spirits that helped them."""
text43755;"""About mighty druids with their magic that entire legions were helpless against."""
text43756;"""The younger men laughed and made sarcastic remarks, saying it was very strange to see him alive after facing such devilry."""
text43757;"""Those older and more experienced mostly said nothing and calmly cleaned their weapons or fixed their armor."""
text43758;"""I belonged to the former group and I didn't know what I'd feel after a dozen or two of battles."""
text43759;"""The old soldier was probably telling his tales not out of a desire to brag but rather guided by concern for his younger comrades, in his own way."""
text43760;"""On the other hand, you couldn't say for sure he'd made it all up."""
text43761;"""Why did our gods, reigning on mount Olympus, have more right to exist than the gods of the forest people?"""
text43762;"""It often seemed to me that none of my comrades were bothered by such thoughts — and it was good that our commander didn't know about my regrettable affliction."""
text43763;"""A legionnaire must be steadfast and merciless to the enemies of Rome."""
text43764;"""I was instead merciless to myself."""
text43765;"""…"""
text43766;"""The familiar landscape gave way to hills, mountains, and endless forests dominated by conifer trees."""
text43767;"""It seemed to me that every tree hid a barbarian, the string of his bow taught, ready to launch a deadly arrow in my direction."""
text43768;"""Our morale dropped dangerously low during past few weeks."""
text43769;"""Cold, hungry, in a foreign land, we kept moving forward to collect taxes from tribes who didn't even recognize the authority of Rome."""
text43770;"""The senators getting fat in their marble palaces didn't have a clue how difficult the life of a legionnaire was!"""
text43771;"""Even the animals here seemed to be against us."""
text43772;"""Simple hares appeared to be much more cunning, dextrous, and elusive than one could expect."""
text43773;"""They didn't just do everything they could to avoid being eaten, they seemed to be driven by a desire to starve <i>us</i>."""
text43774;"""Packs of wolves howled at night, sometimes somewhere in the distance, sometimes so close you'd think you only had to roll to the other side to come face to face with with a ferocious predator."""
text43775;"""The forest itself felt like it was pressing down on our shoulders — as if we were in a different world with its own set of rules."""
text43776;"""A world that didn't welcome hostile outsiders."""
text43777;"""Dense foliage was everywhere, ready to whip our faces; sharp branches aimed for our eyes like spears; the ground beneath our feet was riddled with bumps, snags, potholes, and ravines, making every mile harder than the last."""
text43778;"""Even the birds sang differently there — spreading a grim song of war."""
text43779;"""At one point I had the feeling that our whole unit had already died and gone to the afterlife, but Charon was nowhere to be seen."""
text43780;"""However, even if we were still alive, it wouldn't be for long."""
text43781;"""It is foolish to hope for rescue as you go deeper into the monster's cave."""
text43782;"""I wanted to run, but I'd long lost my sense of direction and any idea of where north and south were."""
text43783;"""The crowns of the trees high above glowed with a pale yellow light, like a canvas before the flickering flame of a candle."""
text43784;"""And the nights were so dark that you couldn't see your own outstretched hand."""
text43785;"""…"""
text43786;"""I didn't know how long we wandered these forests, but one day the endless columns of trees gave way to a small glade, behind which lay a lake ending in a sheer wall of stone that went up all the way to the tops of the tallest of pines """
text43787;"""Many soldiers dropped their weapons and ran into the cool water, shouting happily, to drink their fill and wash off the dirt and fatigue."""
text43788;"""Paying no attentions to the commanders exclaims."""
text43789;"""Something stopped me from doing the same."""
text43790;"""The smooth, transparent, lifeless surface resembled the lid of a coffin."""
text43791;"""There wasn't a single fish swimming in the lake, you couldn't see any plants or even stones under the water."""
text43792;"""Although, the bottom itself seemed to be unreachably far below."""
text43793;"""Once most of my comrades were in the water, a shadow suddenly came over the forest, the birds went silent, even the wind died down, as if someone had shut all the windows in a house."""
text43794;"""I realized that it was the end, but the darkness that came didn't bring any fear, terror, or pain — only an endless, emotionless emptiness."""
text43795;"""Not just the feeling of the end, but the denial of even the beginning, of the very fact of your existence."""
text43796;"""One who never lived cannot die."""
text43797;"""That which never existed cannot give rise to an intelligent being able to attempt to describe that non-existence."""
text43798;"""The world seemed to have one of its dimensions cut away, becoming flat, devoid of any volume or perspective."""
text43799;"""And just as in a world without volume there is no concept of height, in emptiness there is no concept of consciousness to be aware of it..."""
text43800;"""…"""
text43801;"""I snapped awake in cold sweat, jumped off the bed, desperately gasping for air."""
text43802;"""It felt like I was choking, that somebody had drained all the oxygen out of the room and only an asphyxiating gas was getting into my lungs."""
text43803;"""I ran to the window and snatched the curtain aside — the sun was rising over Tokyo…"""
text43804;"""Only then did I realize that it was nothing but a nightmare."""
