text29692;"""I was woken up by the officious ring of my alarm clock."""
text29693;"""But I immediately made the difficult decision to keep sleeping and turned it off with a single accurate hit."""
text29694;"""Irina's <i>recommendations</i> regarding maintaining my normal lifestyle didn't bother me anymore, and it was silly to expect Himitsu to come."""
text29695;"""Yesterday's distress returned right away, making my head feel as if it were swelling up like the inner tube of an old tire."""
text29696;"""…"""
text29697;"""I woke up again at eleven o'clock, and as luck would have it, I felt rested and refreshed."""
text29698;"""I was always extremely annoyed by this kind of contrast between mental and physical conditions: you want to hang yourself but can run a marathon."""
text29699;"""After forcing myself to take a shower, I walked to the kitchen."""
text29700;"""It turned out that Catherine and I hadn't bought as much food as I thought — it was, more or less, just enough for breakfast."""
text29701;"""Over and over, I kept thinking about how Himitsu wouldn't come anymore — she wouldn't bring food or make a delicious dinner…"""
text29702;"""Then, it was time — at eighteen years old! — to learn how to take care of myself."""
text29703;"""I didn't know if I had really reconciled myself with the loss of Himitsu, but I needed to move on somehow."""
text29704;"""Besides, it would be great if I could buy some new plates to replace the ones she had broken."""
text29705;"""The sunshine was friendly but already autumn-appropriate cold."""
text29706;"""Which didn't stop the people on the street from smiling and looking wonderfully happy."""
text29707;"""Here was a child with his mom, laughing and holding a balloon's string in his little fist."""
text29708;"""If I had a hundred of those, I would've hung myself with them and then flown over Tokyo for the sake of the world's entertainment!"""
text29709;"""When you feel bad, others always seem to be doing much better than you…"""
text29710;"""Half an hour later I reached the office of my bank to withdraw some money."""
text29711;"""Sometimes I wished to have been born earlier and participated in the student strikes in the sixties, to cast off the chains of capitalism in righteous anger together with my comrades!"""
text29712;"""But then, almost every month I would come here, and, with my head lowered, wait for a friendly clerk in a window to give me the money I needed to live."""
text29713;"""That's how the noble intentions of another young guy were broken against the harsh cliffs of reality."""
text29714;"""…"""
text29715;"""Today however, it seemed like the entire world was against me!"""
text29716;"""The nameless clerk in his grey suit, with a theatrically concerned expression, informed me that my bank account had been blocked!"""
text29717;"""I argued with him for a good half an hour, raised my voice, even shouted — it was all pointless… <w>I was never given a reason why."""
text29718;"""It even took the help of the guards to get me out of the bank."""
text29719;"""I sat down on the bench outside and tried to catch my breath."""
text29720;"""One thing was clear — it was no coincidence or accident, coincidences like this simply didn't exist!"""
text29721;"""The KGB? <w>Kobayashi Corporation? <w>Japanese intelligence, Himitsu's father?"""
text29722;"""When it rains, it pours…"""
text29723;"""Or, to be more precise, when it seems that things can't get worse, life will always surprise you!"""
text29724;"""I didn't know what to do now, I didn't even want to think about it."""
text29725;"""Surprisingly, I had never been troubled by the thought of what I would I do when I ran out of money."""
text29726;"""Or, to be exact, I had only thought about it in an abstract, philosophical context."""
text29727;"""Like I would go to work… <w>Maybe become a shop assistant or get another job where they don't require a degree."""
text29728;"""However, I never believed that it would really happen!"""
text29729;"""During this year and a half, my monthly visits to the bank seemed completely natural and unquestionable to me."""
text29730;"""Even though any normal person in my place would've first asked themselves where the money was coming from!"""
text29731;"""My father's bank account… <w>Maybe — but this explanation only raised new questions."""
text29732;"""Perhaps I was just afraid to think about it and learn the truth — or break my once-established lifestyle."""
text29733;"""Maybe not the best one, limping with both legs, but without any turmoil or disturbances. <w>And with Himitsu."""
text29734;"""…"""
text29735;"""I was sitting there, dazed, for an hour, but eventually began to come to my senses."""
text29736;"""It was time to call Ichinose again!"""
text29737;"""He had told me that I shouldn't trouble him for anything insignificant, but my life wasn't insignificant!"""
text29738;"""And I couldn't survive in this world of victorious capitalism and Japanese economic miracles without money!"""
text29739;"""I basically sprinted into my house, grabbed the receiver and dialled the number from memory with shaking hands."""
text29740;"""The dial tone seemed to continue forever, my heart managing to beat multiple times every second."""
text29741;"""No reply."""
text29742;"""I called again and again, but with no success."""
text29743;"""Alright, I needed to calm down!"""
text29744;"""Maybe they just went out to do some shopping…"""
text29745;"""Yeah, I guess they did! <w>After all, they need to eat something!"""
text29746;"""I looked at the clock — it was one o'clock. <w>A good time to buy some groceries…"""
text29747;"""Groceries, God damn it! <w>When I had nothing to eat myself!"""
text29748;"""I furiously kicked the nightstand."""
text29749;"""I wanted to hit my phone — but instantly realized that if I broke it, I would have no money to buy a new one."""
text29750;"""My situation was getting more and more serious."""
text29751;"""Why didn't they just kill me?"""
text29752;"""It would be easier for everyone. Including me, I guess..."""
text29753;"""Besides, Maslow was right with his hierarchy... <w>My stomach growled, and I realized: if I didn't do something, then the breakfast made of the remains of Catherine's shopping would become my last meal for today."""
text29754;"""But who could I ask for advice or help?"""
text29755;"""I dialed Ichinose's nephew's number again, and again nobody responded."""
text29756;"""I recalled an old film, in which a policeman was interrogating a suspect."""
text29757;"""A tiny, poorly lit room, a little table in the middle of it, and a dim lamp with a wide shade, drowning in clouds of cigarette smoke."""
text29758;"""The detective with his sleeves rolled leaned up the table and asked the suspect: \""How did you end up here?\"""""
text29759;"""The film was probably made in the 1950s — the actors' profiles seemed to be сarved out of stone: big noses, wide, strong-willed foreheads, eyebrows pulled together, and plastered, swept back hair."""
text29760;"""I imagined myself on the other end of the table."""
text29761;"""How did you end up here, Nikolai?"""
text29762;"""Out of all the people I knew, Ryunosuke-san seemed to resemble that detective the most..."""
text29763;"""Just like last night, I was seized by a fit of nervous laughter."""
text29764;"""Okay, now things definitely couldn't get worse!"""
text29765;"""My brain started to work feverishly."""
text29766;"""Kagome was the only person who could know more about my situation!"""
text29767;"""I ran out of my house and hurried to school, hoping that I could make it."""
text29768;"""On my way to school I was desperately trying to recall how many classes we were supposed to have today, but the lack of oxygen was making blood pulsate in my head and it was hard to focus."""
text29769;"""Someone might find a catty irony in the fact that my last hope was Kagome."""
text29770;"""Not Stanley Kubrick's kind irony, but rather Albert Hitchcoсk's painful sarcasm."""
text29771;"""Finally, I saw the school around the corner and stopped, completely exhausted."""
text29772;"""Groups of students were walking down the street, and I recognized a few classmates, which meant that classes were over already…"""
text29773;"""With one last push, I virtually flew through the gates…"""
text29774;"""And came face-to-face with Kagome."""
text29775;"""At least, I was lucky with something."""
text29776;"""You… You… You....!"""
text29777;"""I was wheezing, desperately sucking air through my mouth."""
text29778;"""Have you gone totally mad?!"""
text29779;"""Kagome hissed, took me by the arm, and pulled me aside."""
text29780;"""You're exactly the person I need!"""
text29781;"""I finally articulated."""
text29782;"""We need to talk!"""
text29783;"""Well, not here…"""
text29784;"""Why not?"""
text29785;"""Nothing, let's go!"""
text37336;"""She abruptly jerked her head in the direction of the school gates and gave me a harsh look."""
text29786;"""Iwamura walked fast, and I was barely managing to keep up, exhausted from the long run."""
text29787;"""Some time later, we found ourselves in a trade district."""
