text8585;"""Are dreams necessary to recover your strength and enjoy a proper night's rest?"""
text8586;"""Sometimes after a drinking spree you see twisted, distorted nightmares and wake up feeling exhausted."""
text8587;"""And sometimes after a hard day's work you just fall asleep and vanish from the world of the living until morning."""
text8588;"""This time I saw no dreams."""
text8589;"""I opened my eyes when it was almost dinner time."""
text8590;"""Hammers were banging rhythmically somewhere in the distance and the air in the room was unbearably stuffy."""
text8591;"""My wet hair was sticking together and trying to get into my eyes, my dirty clothes were glued to my body, and the sour smell of day-old sweat hit my nose."""
text8592;"""Once I managed to get up, I realized I felt rested enough."""
text8593;"""The wound on the back of my head no longer seemed deadly, only making itself known when I tried to wash out the dried blood stuck in my hair."""
text8594;"""At least I'm alive."""
text8595;"""Himitsu's betrayal, Catherine's mother, the KGB, Kobayashi Corporation…"""
text8596;"""It seemed I'd reached some sort of technological singularity — the number of new facts exceeded the limits of my brain's computational power."""
text8597;"""I could've handled one of these things, or, at least, lived with it, but when they came all at once…"""
text8598;"""I guess I just got burnt out — no one could react to everything that had happened to me so <i>calmly</i>."""
text8599;"""People say there are things worse than death…"""
text8600;"""In a sense, I had died spiritually: Himitsu — the person I held closest — had betrayed me, Catherine — the person I loved — didn't even consider me worthy of being called a human being."""
text8601;"""Wasn't that the case? <w>Human beings have at least some rights…"""
text8602;"""Nevertheless, I stubbornly refused to believe she had anything to do with it."""
text8603;"""Had Katya really been aware of her mother's plans all this time? Has she been lying cold-heartedly, looking me in the eye?"""
text8604;"""Someone rang the doorbell."""
text8605;"""Every ring sounds louder or quieter — depending on whether you expect it or not."""
text8606;"""This one sounded completely normal to me, and I opened the door without a second thought — things couldn't get worse, could they...?"""
text8607;"""It was Catherine…"""
text8608;"""I stared at her silently, not knowing where to start."""
text8609;"""Are we going to just stand here?"""
text8610;"""She eventually said, sounding annoyed."""
text8611;"""How did you even find the nerve…"""
text8612;"""Whatever the case, I didn't want to talk on the street, so I turned around in a rather dashing manner, tapping my heels together, and quickly walked to the kitchen, as if remembering I'd set a pot on fire."""
text8613;"""Would you like some coffee?"""
text8614;"""Katya followed me and stopped at the table, hesitating."""
text8615;"""Ah, sorry, I never have coffee… I can get you some tea."""
text8616;"""You're acting even weirder than usual today. And what did you…"""
text8617;"""Don't want any? Alright then."""
text8618;"""I interrupted her, walked to the stove and set a kettle."""
text8619;"""Katya sat down and gave me a questioning look."""
text8620;"""It was rare to see an expression of such genuine confusion on her face."""
text8621;"""I take it you came to continue yesterday's conversation?"""
text8622;"""I jumped to her and loudly landed on the chair next to hers. Catherine flinched."""
text8623;"""My thoughts were completely messed up, I couldn't figure out who my enemies were and if I still had friends."""
text8624;"""We didn't talk yesterday."""
text8625;"""I guess so… Though I did have a very interesting conversation with someone else yesterday."""
text8626;"""Who with?"""
text8627;"""Your mother. A <i>very</i> interesting, but at the same time unpleasant, talk."""
text8628;"""She bit her lip and looked away."""
text8629;"""Nothing to say?"""
text8630;"""I… I don't know why she came…"""
text8631;"""Came?"""
