text42220;"""Everyone's heart builds up scar tissue as years go by."""
text42221;"""In the end it's all about finding someone who won't recoil when you bare your soul to them."""
text42222;"""Of course, I was still very young, and so was Kagome, but it still seemed to me that she'd experienced much more than I had in eighteen years."""
text42223;"""Maybe, her main fear was <i>what</i> I could think if I looked inside her?"""
text42224;"""It's not that easy to open up to another person."""
text42225;"""I'd probably never been afraid of it because I thought I had nothing to hide and, conceptually, wasn't that much different from most other people."""
text42226;"""I had no dark secrets or skeletons in my closet, perverted fantasies or fetishes, I didn't have a mortal grudge against anyone and wasn't planning any sort of revenge."""
text42227;"""I wasn't interested in politics or economics — philosophical questions bothered me more than real social problems"""
text42228;"""In a sense, I was one of the people were <i>quiet when they came for the communists</i>."""
text42229;"""The only thing such a person might fear when opening up to someone else, is that they'd be considered worthless and unremarkable."""
text42230;"""I woke up pretty early, tried to move and immediately realized that my left arm and shoulder were completely numb."""
text42231;"""Kagome was sleeping pressed to me, hold me in a vice grip."""
text42232;"""I carefully freed myself from her embrace, got up, and stretched my arms."""
text42233;"""What did last night mean to us...?"""
text42234;"""I absolutely needed to go outside and get some fresh air."""
text42235;"""The freezing cold morning greeted me with fog and a pleasant chill."""
text42236;"""I didn't know how winter was here in the mountains, but I bet it'd be colder than in Tokyo."""
text42237;"""A yukata wouldn't exactly be considered warm clothing — something we would definitely need!"""
text42238;"""I walked down an almost deserted street, wondering where I could find the money."""
text42239;"""<i>Almost</i> deserted…"""
text42240;"""Himitsu was walking towards me, wearing a beautiful yukata."""
text42241;"""Of course, somewhere in depths of my memory I knew Himitsu's grandmother lived not too far from this village, but I was still surprised to see her here."""
text42242;"""On the other hand, it was probably why this place had come to mind as somewhere to escape to."""
text42243;"""Anyway, what options did I have right now? <w>Turn around and leave? <w>Hide?"""
text42244;"""Obviously, after everything that had happened, there was zero reason Himitsu had to know where I was!"""
text42245;"""I didn't know what kind of rumors were circulating about us at school."""
text42246;"""I would've liked to trust Himitsu, but at this point it would be both foolish and dangerous…"""
text42247;"""But I just froze, unable to take even a single step."""
text42248;"""The first option for most mammals in a dangerous situation, in the face of a serious threat, is to freeze and hide."""
text42249;"""While I tried to force myself to run, Himitsu noticed me."""
text42250;"""Niko-kun...?"""
text42251;"""And then I finally managed to turn around and start walking away."""
text42252;"""Niko-kun, it's you, right...?"""
text42253;"""It was too late."""
text42254;"""I stopped and waited for her to come closer."""
text42255;"""Niko-kun, what are you doing here?"""
text42256;"""Himitsu looked surprised but not particularly shocked."""
text42257;"""And you?"""
text42258;"""I asked a stupid question, just to say something."""
text42259;"""I'm buying food for breakfast."""
text42260;"""Perhaps I should've been more careful and paid more attention to my surroundings, but I hadn't thought Himitsu would be visiting her grandmother at the end of October."""
text42261;"""Ah, I see… How are you?"""
text42262;"""Niko-kun."""
text42263;"""She frowned."""
text42264;"""I've been so worried, and now you're just joking around!"""
text42265;"""They told us at school that you and Iwamura-senpai kidnapped Kobayashi-senpai, and then you just disappeared!"""
text42266;"""What was I supposed to think? That you ran away or were arrested?"""
text42267;"""I've spent so many nights crying, not knowing whether you were dead or alive! And here you are, fine, healthy, and smiling — like nothing happened!"""
text42268;"""The thing is, so many things have happened I don't even know where to start."""
text42269;"""What about Iwamura-senpai? Is it true? Did you two kidnap Kobayashi-senpai together?"""
text42270;"""Wait a minute, don't just start throwing accusations at me!"""
text42271;"""The situation really was so complicated I didn't even want to start explaining it."""
text42272;"""Oh, I see!"""
text42273;"""She was about to frown, but then pursed her lips as if she were going to cry."""
text42274;"""Niko-kun, if you really did it, my dad can help you…"""
text42275;"""No need!"""
text42276;"""I quickly waved my hands."""
text42277;"""Definitely no need for that! Don't say a word to your father about this, got it?!"""
text42278;"""But why?"""
