text18227;"""Sometimes, conclusions you come to late at night seem hard-won and suffered-for at the time, but are simple and obvious the following morning."""
text18228;"""The bottom line was that Irina was pushing me to develop a relationship with Ellie."""
text18229;"""And there was nothing wrong with that."""
text18230;"""Good deeds often start with not-so-sincere intentions."""
text18231;"""As is well known, the <note=note156>MIC</note> has developed many things that later found civilian use."""
text18232;"""…"""
text18233;"""Kyosuke seemed to have run out of ideas, or maybe he was still upset by what I had done yesterday — either way, my chubby friend was quieter than usual today."""
text18234;"""I barely managed to wait until lunch and ran to the old music classroom as soon as the bell rang."""
text18235;"""Only to find it empty."""
text18236;"""I was about to leave when I heard steps in the corridor, and Ellie walked in."""
text18237;"""Oh, Nick… Didn't expect to meet you here."""
text18238;"""She said without much emotion."""
text18239;"""Sure, I'd decided to talk to her and somehow get an invitation to that ball…"""
text18240;"""But I never figured out what exactly to say."""
text18241;"""Yeah, hi… I just wanted to say… It was a bit awkward yesterday — sorry! I didn't mean to accuse you of anything…"""
text18242;"""Ellie looked upset."""
text18243;"""You have nothing to apologize for. I was thinking about it a lot too and I realized I said so much…"""
text18244;"""Well, it's in the past now! Truce?"""
text18245;"""She smiled hesitantly in response."""
text18246;"""I hope that if that bi… Iwamura is really guilty, the police find all the necessary evidence."""
text18247;"""I mean — so she's not falsely accused."""
text18248;"""I know."""
text18249;"""And also, sorry for not coming to the rehearsal the other day and not even calling. I had some… urgent stuff to handle."""
text18250;"""We were waiting for you, you know."""
text18251;"""Ellie frowned."""
text18252;"""Your next absence without good reason will result in your termination!"""
text18253;"""What for?!"""
text18254;"""I portrayed overblown surprise."""
text18255;"""I hope you won't be finding other reasons to skip rehearsals now."""
text18256;"""…"""
text18257;"""I found it hard to find a response to that."""
text18258;"""Anyway, this is my spot — what are you doing here?"""
text18259;"""She puffed without a hint of anger."""
text18260;"""What, I'm not allowed to be here?"""
text18261;"""No, that's not what I mean… I was just surprised to find somebody in this place."""
text18262;"""Well, you see… Since it's all over, I wanted to ask you…"""
text18263;"""Every word took an effort to force out, as if I'd been forced to read a report on climate change at a UN general assembly having only had the night before to prepare."""
text18264;"""I meant to say… Wanna go somewhere together?"""
text18265;"""Of course, I didn't owe Kagome anything, but not a day had passed since her arrest, and there I was, hitting on Ellie."""
text18266;"""Yes, I was being forced by Irina, but did I really mind? <w>Not at all, I was very much for it!"""
text18267;"""But the whole situation also seemed somewhat surreal, especially the idea that she might agree."""
text18268;"""Somebody was about to turn on the lights, the audience would stand up and leave the room, and I'd return to a cruel and unromantic reality."""
text18269;"""Are you asking me out?"""
text18270;"""If you'd like to. Well, we don't need to go out somewhere. We could, I don't know, spend time at your place."""
text18271;"""Play something! Do you like video games? You have a console, don't you?"""
text18272;"""I was babbling non stop, afraid to hear her answer."""
text18273;"""Ellie, in turn, looked like she was solving a complex mathematical equation."""
text18274;"""No, I'm not much into games."""
text18275;"""But, actually, we've got a ball tomorrow! You can come. If you want, of course."""
text18276;"""Would your grandfather be okay with it?"""
text18277;"""It was weird that yesterday I hadn't thought about Kobayashi Jun's reaction to me showing up at his house."""
text18278;"""Irina hadn't even mentioned it."""
text18279;"""Apparently, she really did only care about the result, not the means."""
text18280;"""He won't even notice you!"""
text18281;"""There're so many attendees every year — he'll be busy talking to all sorts of <i>important people</i> and won't have time for me either."""
text18282;"""Well, if you say so…"""
text18283;"""There's a formal dress code though."""
text18284;"""What do you mean?"""
text18285;"""A white shirt and a tuxedo."""
text18286;"""Ellie, apparently, couldn't even imagine that somebody might not have something as simple as a tuxedo in their wardrobe."""
text18287;"""Meanwhile, I didn't even have a white shirt."""
text18288;"""Sure thing, got it! Who do you think I am? A dirty peasant?!"""
text18289;"""She laughed, came closer and fixed my tie."""
text18290;"""For a moment, I froze, forgetting to breathe."""
text18291;"""Better not show up there looking like this."""
text18292;"""A ball, tuxedos… Doesn't feel very rock'n'roll."""
text18293;"""I said to somehow deal with the embarrassment."""
text18294;"""It's not all black and white! This kind of life has its… advantages."""
text18295;"""I guess."""
text18296;"""Just don't overthink it! It's not a date!"""
text18297;"""I'd invite Ishida and Mitsuyoshi if they wanted to! Even Tokyo Rider."""
text18298;"""Well, no, maybe not him…"""
text18299;"""She added after a second of consideration."""
text18300;"""Never even thought about it!"""
text18301;"""But you just asked me out!"""
text18302;"""I guess I did…"""
text18303;"""This scene was straight out of a bad manga, and I didn't want to get kicked in the ass in the following panel or keep the joke going for a hundred chapters."""
text18304;"""Can I just ask you out for a dance? Once. And we'll go from there."""
text18305;"""A dance, a dance…"""
text18306;"""Ellie muttered, as if learning a new word."""
text18307;"""That's what the ball is for — dancing. I dance there every year, so why wouldn't I dance with you?"""
text18308;"""Then it's a deal."""
text18309;"""I was about to leave before she changed her mind, but Ellie stopped me:"""
text18310;"""What's your surname? For the guest list."""
text18311;"""Anokhin."""
text18312;"""That's a strange surname."""
text18313;"""Sounds normal to me."""
text18314;"""I shrugged."""
text18315;"""See you!"""
text18316;"""I quickly walked out of the classroom."""
text18317;"""…"""
text18318;"""Now I had to solve the issue of my appearance."""
text18319;"""I didn't know where I could buy a tuxedo in Tokyo. <w>Kyosuke wasn't the guy to ask!"""
text18320;"""Although, among my few friends, all two of them to be precise, there was one person who could be able to help."""
text18321;"""I returned to the classroom before the lesson started."""
text18322;"""Michael, I have a personal request."""
text18323;"""I'm listening."""
text18324;"""Do you know where I can get… a tuxedo?"""
text18325;"""A tuxedo?"""
text18326;"""He asked with genuine surprise."""
text18327;"""Yeah, I need to go to an official event tomorrow. They won't let me in without a tuxedo."""
text18328;"""He thought about it and took his time before answering."""
text18329;"""I do. But it won't be cheap."""
